iter	Passed	Remaining
403	7922	1882
404	7940	1862
405	7958	1842
406	7976	1822
407	7994	1802
408	8013	1782
409	8032	1763
410	8051	1743
411	8069	1723
412	8087	1703
413	8106	1684
414	8125	1664
415	8143	1644
416	8161	1624
417	8179	1604
418	8198	1584
419	8217	1565
420	8238	1545
421	8256	1526
422	8274	1506
423	8293	1486
424	8311	1466
425	8331	1447
426	8349	1427
427	8367	1407
428	8385	1387
429	8404	1368
430	8422	1348
431	8440	1328
432	8458	1308
433	8476	1289
434	8494	1269
435	8513	1249
436	8531	1229
437	8549	1210
438	8568	1190
439	8586	1170
440	8605	1151
441	8623	1131
442	8641	1111
443	8659	1092
444	8678	1072
445	8696	1052
446	8714	1033
447	8733	1013
448	8764	995
449	8782	975
450	8800	956
451	8819	936
452	8837	916
453	8856	897
454	8875	877
455	8893	858
456	8911	838
457	8930	818
458	8949	799
459	8967	779
460	8986	760
461	9004	740
462	9022	720
463	9040	701
464	9059	681
465	9077	662
466	9095	642
467	9115	623
468	9134	603
469	9153	584
470	9171	564
471	9190	545
472	9209	525
473	9228	506
474	9250	486
475	9269	467
476	9289	447
477	9307	428
478	9326	408
479	9345	389
480	9363	369
481	9382	350
482	9401	330
483	9419	311
484	9437	291
485	9456	272
486	9474	252
487	9493	233
488	9511	213
489	9529	194
490	9547	175
491	9566	155
492	9585	136
493	9604	116
494	9623	97
495	9642	77
496	9662	58
497	9681	38
498	9700	19
499	9719	0
